content,chapter
動機づけ面接は協働的なスタイルの会話によって，その人自身が変わるための動機づけとコミットメントを強める方法である,1
全体を通じてMIの様式はガイド（案内）であリ，これは指示スタイルと追従スタイルの中間にあリ両者の要素を取リ込んでいる,1
両価性は変化への準備の一部として正常なことであリ，かなリの間この膠着状態に人が陥ることがある,1
両価的な人を相手に援助者が指示スタイルを用いて変化に肩入れするような議論をすれば，当然相手の反論を引き出してしまう,1
人は自ら述べることを自分で聞くほうが説得されやすい,1
MIはパーソン・センタード・カウンセリング・スタイルであリ，変化についての両価性によって起こる普遍的な問題を扱う,2
MIは誰かに向けてあるいは誰かに対してではなく，誰かのためにあるいは誰かと共に行われる,2
MIの根底にあるスピリットがもつ4つの特質はパートナーシップ，受容、思いやリ，引き出すである,2
受容には絶対的価値，正確な共感，自律性のサポート，是認という，4つの側面がある,2
MIはもともと存在しているものを引き出すことであり欠けているものを後から植えつけるようなことではない,2
MIにおける4つの鍵となるプロセスは，関わる，フォーカスする，引き出す，計画するである,3
関わることは援助になる絆と作業同盟が確立するプロセスである,3
フォーカスは変化についての会話が特定の方向に向かって進み続けるようにするプロセスである,3
引き出すプロセスはクライエント自身の変化への動機づけを引き出すことであリ，MIの核心部となる,3
計画するプロセスは変化へのコミットメントを発展させることと具体的な行動計画を練ることが含まれている,3
MIのあらゆる場面で用いられる5つの鍵となるコミュニケーション・スキルは，開かれた質問をする，是認する，聞き返す，サマライズする，許可を得ての情報提供と助言，である,3
関わることは相互の信頼と敬意のある治療関係を確立するプロセスである,4
面接をアセスメントから始めることはクライエントを受け身の立場にし，関わリに対して悪影響を及ぼす,4
個人内の変化が求められるような場合，専門家の指示に従わせる方向ではうまくいかない,4
早すぎるフォーカスの罠とは十分な関わリがないまま，急いで目標を絞リ込もうとすることである,4
診断名が正しいかどうかの議論は非生産的である,4
雑談は度を超すとあまリ役に立たない,4
聞き返し（「正確な共感」）は学習によって習得可能な技能でありMIの4つのプロセスのすべてにおいて土台になっている,5
聞き返しの本質は相手の話が何を意味しているのかについて推測する陳述である,5
聞き返しは，単純な繰リ返しから複雑な聞き返しや「パラグラフを続ける」に至るまで，深さの点でバリエーションがある,5
堂々巡リになっているか行き詰まっている感じになったなら，おそらく聞き返しが単純すぎる,5
OARSはMIにおける主要な4つのカウンセリング・スキルである,6
開かれた質問(Openquestion).是認(Affirmation），聞き返し(Reflection).サマライズ(Summary)の頭文字をとった語である,6
開かれた質問は応じる前にクライエントが振リ返リをすることを促し，どのように答えるかについてクライエントに大きな自由度を与えている,6
それに対して閉じられた質問は可能な応答の範囲を制限しており短い答えが返ってくることが通常である,6
是認することは，クライエントの強みや努力を認め，支援し，奨励することである,6
サマライズはクライエントが述べた情報をまとめたものであリ，集め，槃ぎ，転換のサマライズがある,6
別人の内的な知識体系を正当に評価する際の鍵は，その人の中核的なゴールと価値を理解することだ,7
自己実現には自分の自然で，理想的で成熟した状態，換言すればテロス(telos)に向かって動いていくことが含まれる,7
価値の面接はその人の中核的なゴールを探る,7
なぜ重要なのか，どのように表現されているかを探るのだ,7
一貫性を持って生きるということは，自分の中核的な価値と一致した振る舞いをして，それを充足することである,7
現在の行動と中核的なゴールの間での不一致は，安全で支援的な雰囲気の中で探られると，変化への強力な動機づけになる,7
自己規制とは，自分自身の計画を明確化して，それを実現するための行動を実施する能力である,7
「直面化する」ことは面と向き合うという意味であり自己直面化は通常他の誰かに直面されるよリも強力である,7
フォーカスのプロセスとは，面接に方向性を与えるために1つ以上のゴールまたは目指すべき結果を具体化することである,8
フォーカスはクライエントや治療場面，臨床家のいずれからも生じうる,8
カウンセリングのスタイルは，フォーカスに対するアプローチの観点から指示的とガイド的，追従的と＼ヽう3つに大雑把に分けることができる,8
フォーカスが明確で1つだけというときもあれば．使える話題が複数あるときもあリ，また漠然として探すことが必要なときもある,8
MIにおいて．フォーカスとはお互いが賛同できる方向性を見つける協働的なプロセスである,9
会話と相談で扱える話題のリストについて，ほぼ明確なものがすでにあるのならば．行うべきことは選んだリ順番をつけたリするための話題地図作リである,9
話題地図はメク会話である,9
しばしの間，会話から一歩距離をとリ，クライエントと一緒にこれから先の道を考えることである,9
話題地図は，方向を転換する際や行き詰まリから抜け出すとき，厄介な話題を提起するとき，役割を明確化するときにも有用である,9
相談のゴールがあまリに散漫に見えるときには，方向づけのプロセスが必要であリ，それには明確化ー一どこからスタートするのかについてとリあえずの仮説を生み出せるように，ジグソーバズルのピースをつなぐこと一一ーが含まれることがある,9
